,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
208,[],48.8760238,2.3581927000000005,BMK Paris-Bamako,48.87464593409851,2.3565486073493958,African Restaurant
209,[],48.8760238,2.3581927000000005,Marrow,48.87442541960633,2.358884811401367,Café
210,[],48.8760238,2.3581927000000005,Le Grand Amour Restaurant,48.87456598277865,2.3563213985670255,Restaurant
211,[],48.8760238,2.3581927000000005,Le Grand Amour Hôtel,48.874538927210786,2.3562651606408602,Hotel
212,[],48.8760238,2.3581927000000005,Marks & Spencer Food,48.87674195537729,2.358486072371823,Food & Drink Shop
213,[],48.8760238,2.3581927000000005,Marché Saint-Quentin,48.876830665853085,2.355233825623974,Farmers Market
214,[],48.8760238,2.3581927000000005,Le Delly's,48.878458299848,2.357852395267173,African Restaurant
215,[],48.8760238,2.3581927000000005,Les Orientalistes,48.875501521125955,2.358844578266144,Mediterranean Restaurant
216,[],48.8760238,2.3581927000000005,L'Ours Bar,48.874604417758015,2.3544449149534543,Cocktail Bar
217,[],48.8760238,2.3581927000000005,Café A,48.87523561686296,2.360022095087153,Café
218,[],48.8760238,2.3581927000000005,BMK Paris-Bamako,48.87464593409851,2.3565486073493958,African Restaurant
219,[],48.8760238,2.3581927000000005,Marrow,48.87442541960633,2.358884811401367,Café
220,[],48.8760238,2.3581927000000005,Le Grand Amour Restaurant,48.87456598277865,2.3563213985670255,Restaurant
221,[],48.8760238,2.3581927000000005,Le Grand Amour Hôtel,48.874538927210786,2.3562651606408602,Hotel
222,[],48.8760238,2.3581927000000005,Marks & Spencer Food,48.87674195537729,2.358486072371823,Food & Drink Shop
223,[],48.8760238,2.3581927000000005,Marché Saint-Quentin,48.876830665853085,2.355233825623974,Farmers Market
224,[],48.8760238,2.3581927000000005,Le Delly's,48.878458299848,2.357852395267173,African Restaurant
225,[],48.8760238,2.3581927000000005,Les Orientalistes,48.875501521125955,2.358844578266144,Mediterranean Restaurant
226,[],48.8760238,2.3581927000000005,L'Ours Bar,48.874604417758015,2.3544449149534543,Cocktail Bar
227,[],48.838879999999996,2.3529777000000003,Au Bon Coin,48.838155340261906,2.3516649893427046,French Restaurant
228,[],48.838879999999996,2.3529777000000003,Carl Marletti,48.83949014675772,2.3503057298588117,Dessert Shop
229,[],48.838879999999996,2.3529777000000003,Chez Neung,48.83756338657033,2.3541388008808917,Thai Restaurant
230,[],48.838879999999996,2.3529777000000003,Tesoro d'Italia,48.837588376725286,2.354215237131465,Italian Restaurant
231,[],48.838879999999996,2.3529777000000003,Bocamexa,48.840122,2.349835,Mexican Restaurant
232,[],48.838879999999996,2.3529777000000003,Bekseju Village,48.8379634154194,2.3554682477567708,Korean Restaurant
233,[],48.838879999999996,2.3529777000000003,Mavrommátis,48.84056933181091,2.3511841893196106,Greek Restaurant
234,[],48.838879999999996,2.3529777000000003,Cave La Bourgogne,48.839236989424926,2.34975644594888,French Restaurant
235,[],48.838879999999996,2.3529777000000003,Marché Mouffetard,48.839970404373645,2.3497727402448416,Farmers Market
236,[],48.838879999999996,2.3529777000000003,Au Vietnam,48.83856180827378,2.3510859170582754,Vietnamese Restaurant
237,[],48.8695072,2.3314532999999997,Place de l'Opéra,48.87086688393964,2.3321523722815702,Plaza
238,[],48.8695072,2.3314532999999997,Hôtel Park Hyatt Paris-Vendôme,48.86889283393748,2.3303380608558655,Hotel
239,[],48.8695072,2.3314532999999997,Pierre Hermé,48.86822151447183,2.333396617684349,Pastry Shop
240,[],48.8695072,2.3314532999999997,La Cure Gourmande,48.8697887450351,2.332400679588318,Candy Store
241,[],48.8695072,2.3314532999999997,La Pépinière Théâtre,48.868629398163556,2.332388342913275,Theater
242,[],48.8695072,2.3314532999999997,Cartier,48.8692635,2.3310218,Jewelry Store
243,[],48.8695072,2.3314532999999997,Hôtel Scribe,48.870537148418215,2.329675555229187,Hotel
244,[],48.8695072,2.3314532999999997,Académie Nationale de Musique,48.87112287829175,2.331461906433105,Historic Site
245,[],48.8695072,2.3314532999999997,InterContinental Paris Le Grand Hôtel,48.870834,2.330427,Hotel
